product_id,timestamp,price,midprice,log_return,spread_abs,spread_bps,vol_60s,mean_return_60s,n_ticks_60s,trade_intensity_60s,spread_mean_60s,price_range_60s,future_vol_60s,vol_spike
BTC-USD,2026-04-06T15:06:15.514217638Z,69607.52,69607.515,1.4366264922687193e-07,0.010000000009313226,0.001436626492026504,3.220661257567025e-05,-9.95888086338945e-09,679,11.316666666666666,0.0693225331374479,70.30000000000291,2.9688699671359757e-05,0
BTC-USD,2026-04-06T15:06:15.514217638Z,69607.52,69607.515,0.0,0.010000000009313226,0.001436626492026504,3.218288762990934e-05,-9.944213881263692e-09,680,11.333333333333334,0.06923529411814182,70.30000000000291,2.9688699671359757e-05,0
BTC-USD,2026-04-06T15:06:15.586712092Z,69607.52,69607.515,0.0,0.010000000009313226,0.001436626492026504,3.220661257567025e-05,-9.95888086338945e-09,679,11.316666666666666,0.06932253313749076,70.30000000000291,2.9729113398070576e-05,0
BTC-USD,2026-04-06T15:06:15.586712092Z,69607.52,69607.515,0.0,0.010000000009313226,0.001436626492026504,3.218288762990934e-05,-9.944213881263692e-09,680,11.333333333333334,0.06923529411818462,70.30000000000291,2.9729113398070576e-05,0
BTC-USD,2026-04-06T15:06:15.773722961Z,69607.51,69607.515,-1.4366264921568045e-07,0.010000000009313226,0.001436626492026504,3.215921544380896e-05,-1.0140858639108424e-08,681,11.35,0.06914831130745207,70.30000000000291,2.976969982475805e-05,0
BTC-USD,2026-04-06T15:06:15.773722961Z,69607.51,69607.515,0.0,0.010000000009313226,0.001436626492026504,3.213559501296916e-05,-1.0125967510416635e-08,682,11.366666666666667,0.06906158357827591,70.30000000000291,2.976969982475805e-05,0
BTC-USD,2026-04-06T15:06:15.840242609Z,69607.51,69607.515,0.0,0.010000000009313226,0.001436626492026504,3.215921544380896e-05,-1.0140858639108424e-08,681,11.35,0.0691483113074948,70.30000000000291,2.9810445694149306e-05,0
BTC-USD,2026-04-06T15:06:15.840242609Z,69607.51,69607.515,0.0,0.010000000009313226,0.001436626492026504,3.213559501296916e-05,-1.0125967510416635e-08,682,11.366666666666667,0.06906158357831858,70.30000000000291,2.9810445694149306e-05,0
BTC-USD,2026-04-06T15:06:15.998279092Z,69607.52,69607.515,1.4366264922687193e-07,0.010000000009313226,0.001436626492026504,3.2112027089117326e-05,-9.90047100493674e-09,683,11.383333333333333,0.06897510981028197,70.30000000000291,2.9810437503023333e-05,0
BTC-USD,2026-04-06T15:06:15.998279092Z,69607.52,69607.515,0.0,0.010000000009313226,0.001436626492026504,3.2088510407793906e-05,-9.885975439775778e-09,684,11.4,0.06888888888952033,70.30000000000291,2.9810437503023333e-05,0
BTC-USD,2026-04-06T15:06:16.089336819Z,69607.52,69607.515,0.0,0.010000000009313226,0.001436626492026504,3.206504531700285e-05,-9.87152225930827e-09,685,11.416666666666666,0.0688029197086733,70.30000000000291,2.985135110559633e-05,0
BTC-USD,2026-04-06T15:06:16.089336819Z,69607.52,69607.515,0.0,0.010000000009313226,0.001436626492026504,3.204163162838877e-05,-9.85711127790782e-09,686,11.433333333333334,0.06871720116683751,70.30000000000291,2.985135110559633e-05,0
BTC-USD,2026-04-06T15:06:16.270514782Z,69607.51,69607.515,-1.4366264921568045e-07,0.010000000009313226,0.001436626492026504,3.201826955931928e-05,-1.0052163082481832e-08,687,11.45,0.06863173216951941,70.30000000000291,2.985135837823674e-05,0
BTC-USD,2026-04-06T15:06:16.270514782Z,69607.51,69607.515,0.0,0.010000000009313226,0.001436626492026504,3.199495811363199e-05,-1.0037531112929456e-08,688,11.466666666666667,0.06854651162858888,70.30000000000291,2.985135837823674e-05,0
BTC-USD,2026-04-06T15:06:16.342641573Z,69607.51,69607.515,0.0,0.010000000009313226,0.001436626492026504,3.2018269023068895e-05,-1.0261582409365131e-08,687,11.45,0.06863173216956178,70.30000000000291,2.985135837823674e-05,0
BTC-USD,2026-04-06T15:06:16.342641573Z,69607.51,69607.515,0.0,0.010000000009313226,0.001436626492026504,3.1994957577868655e-05,-1.0246645608187015e-08,688,11.466666666666667,0.0685465116286312,70.30000000000291,2.985135837823674e-05,0
BTC-USD,2026-04-06T15:06:16.632429677Z,69607.51,69601.10500000001,0.0,0.00999999999476131,0.0014367587978324926,3.206504518493699e-05,-1.0291587036293098e-08,685,11.416666666666666,0.06880291970877953,70.30000000000291,2.985135837823674e-05,0
BTC-USD,2026-04-06T15:06:16.632429677Z,69607.51,69601.10500000001,0.0,0.00999999999476131,0.0014367587978324926,3.204163149661201e-05,-1.0276562821641576e-08,686,11.433333333333334,0.06871720116692236,70.30000000000291,2.985135837823674e-05,0
BTC-USD,2026-04-06T15:06:16.825484307Z,69601.78,69601.10500000001,-8.232209219991703e-05,0.00999999999476131,0.0014367587978324926,3.2171906841118834e-05,-1.302646322634716e-07,687,11.45,0.06863173216958296,70.30000000000291,2.9739942180585264e-05,0
BTC-USD,2026-04-06T15:06:16.825484307Z,69601.78,69601.10500000001,0.0,0.00999999999476131,0.0014367587978324926,3.214848391848464e-05,-1.3007501853383044e-07,688,11.466666666666667,0.0685465116286312,70.30000000000291,2.9739942180585264e-05,0
BTC-USD,2026-04-06T15:06:16.84208625Z,69601.78,69601.10500000001,0.0,0.00999999999476131,0.0014367587978324926,3.2171906841118834e-05,-1.302646322634716e-07,687,11.45,0.06572052401820014,70.30000000000291,2.9739942180585264e-05,0
BTC-USD,2026-04-06T15:06:16.84208625Z,69601.78,69601.10500000001,0.0,0.00999999999476131,0.0014367587978324926,3.214848391848464e-05,-1.3007501853383044e-07,688,11.466666666666667,0.06563953488444514,70.30000000000291,2.9739942180585264e-05,0
BTC-USD,2026-04-06T15:06:17.087033094Z,69601.11,69601.10500000001,-9.626236926594979e-06,0.00999999999476131,0.0014367587978324926,3.2127148683056954e-05,-1.4387757944671e-07,689,11.483333333333333,0.06555878084251526,70.30000000000291,2.9779315906406954e-05,0
BTC-USD,2026-04-06T15:06:17.087033094Z,69601.11,69601.10500000001,0.0,0.00999999999476131,0.0014367587978324926,3.210382635327087e-05,-1.4366875857668574e-07,690,11.5,0.06547826087027214,70.30000000000291,2.9779315906406954e-05,0
BTC-USD,2026-04-06T15:06:17.088537072Z,69601.11,69601.10500000001,0.0,0.00999999999476131,0.0014367587978324926,3.208055474157466e-05,-1.4346054298454562e-07,691,11.516666666666667,0.06539797395149427,70.30000000000291,2.9779315906406954e-05,0
BTC-USD,2026-04-06T15:06:17.088537072Z,69601.11,69601.10500000001,0.0,0.00999999999476131,0.0014367587978324926,3.2057333664410244e-05,-1.4325293004245512e-07,692,11.533333333333333,0.06531791907583426,70.30000000000291,2.9779315906406954e-05,0
BTC-USD,2026-04-06T15:06:17.340339137Z,69601.11,69601.10500000001,0.0,0.00999999999476131,0.0014367587978324926,3.211008862752503e-05,-1.8355103964325438e-07,689,11.483333333333333,0.061088534108093936,70.30000000000291,2.9820538713858725e-05,0
